City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
230,san luis,-33.295,-66.3356,25.88,47,83,1.16,AR,1673992914
231,pombal,-6.7703,-37.8017,30.02,43,100,5.96,BR,1673993208
232,harper,4.375,-7.7169,26.4,80,75,2.73,LR,1673993209
233,indramayu,-6.3264,108.32,25.12,88,100,3.59,ID,1673993210
234,dashitou,43.3067,128.5114,-18.18,77,1,2.6,CN,1673993211
235,hamilton,39.1834,-84.5333,14.91,58,1,3.13,US,1673992837
236,mulege,26.8833,-111.9833,21.55,37,77,4.96,MX,1673993213
237,aksu,41.1231,80.2644,-18.25,90,5,2.45,CN,1673993214
238,grand gaube,-20.0064,57.6608,25.77,77,100,4.02,MU,1673993215
239,santa cruz,-17.8,-63.1667,30.28,53,93,3.57,BO,1673992942
240,dongsheng,39.8161,109.9776,-13.14,68,0,6.62,CN,1673993217
241,kotelnich,58.3089,48.348,-8.33,95,100,3.99,RU,1673993218
242,bathsheba,13.2167,-59.5167,24.86,75,34,6.53,BB,1673992942
243,port hardy,50.6996,-127.4199,8.1,81,100,8.23,CA,1673992940
244,almendralejo,38.6832,-6.4075,7.29,80,76,10.67,ES,1673993221
245,raduzhnyy,62.0961,77.475,-16.76,97,100,3.62,RU,1673993222
246,dedza,-14.3779,34.3332,15.1,96,100,1.01,MW,1673993223
247,vaxjo,56.8777,14.8091,1.03,99,75,6.69,SE,1673993224
248,calipan,18.2958,-97.1667,29.16,24,89,0.43,MX,1673993225
249,dikson,73.5069,80.5464,-28.76,84,100,2.63,RU,1673993226
250,dicabisagan,17.0818,122.4157,23.09,88,100,5.59,PH,1673993227
251,lubao,14.9167,120.55,26.04,87,100,3.26,PH,1673993228
252,havre-saint-pierre,50.2334,-63.5986,3.2,100,100,4.63,CA,1673993229
253,pevek,69.7008,170.3133,-38.05,100,75,2.14,RU,1673993231
254,kaspiyskiy,45.3929,47.3707,-1.62,78,89,4.63,RU,1673993232
255,cabo san lucas,22.8909,-109.9124,25.34,56,40,8.75,MX,1673993067
256,kapuskasing,49.4169,-82.4331,-0.29,99,100,1.87,CA,1673993234
257,chihuahua,28.5,-106.0,21.78,22,73,14.14,MX,1673992816
258,flinders,-34.5833,150.8552,24.65,75,39,4.02,AU,1673993236
